Para Birimi,Alış Fiyatı,Satış Fiyatı,Fark
KWD,117.133,112.2028,4.930199999999999
KWD,117.133,112.2028,4.930199999999999
AUD,22.087,21.7127,0.3742999999999981
AUD,22.087,21.7127,0.3742999999999981
CHF,38.9102,38.5462,0.3640000000000043
CHF,38.9102,38.5462,0.3640000000000043
GBP,43.6502,43.3285,0.3216999999999999
GBP,43.6502,43.3285,0.3216999999999999
JPY,22.5306,22.2151,0.3155000000000001
JPY,22.5306,22.2151,0.3155000000000001
CAD,24.6909,24.3964,0.2944999999999993
CAD,24.6909,24.3964,0.2944999999999993
SAR,9.5007,9.3425,0.15820000000000078
SAR,9.5007,9.3425,0.15820000000000078
EUR,36.5073,36.3616,0.14569999999999794
EUR,36.5073,36.3616,0.14569999999999794
USD,35.4523,35.3108,0.14150000000000063
USD,35.4523,35.3108,0.14150000000000063
SEK,3.1953,3.1531,0.04220000000000024
SEK,3.1953,3.1531,0.04220000000000024
DKK,4.9047,4.8661,0.038599999999999746
DKK,4.9047,4.8661,0.038599999999999746
NOK,3.1153,3.0853,0.029999999999999805
NOK,3.1153,3.0853,0.029999999999999805
